GEO.id,GEO.display-label,HC02_EST_VC03,HC02_EST_VC04,HC02_EST_VC05,HC02_EST_VC06,HC02_EST_VC07,HC02_EST_VC08,HC02_EST_VC09,HC01_EST_VC10,HC02_EST_VC20,HC02_EST_VC21,HC02_EST_VC22,HC02_EST_VC23,HC02_EST_VC24,HC02_EST_VC25,HC02_EST_VC26,HC02_EST_VC27,HC01_EST_VC28,HC02_EST_VC31,HC02_EST_VC32,HC02_EST_VC33,HC02_EST_VC34,GEO.id2
Id,Geography,"Mortgate Value - Less than $50,000","Mortgage value - $50,000 to $99,999","Mortgage Value - $100,000 to $299,999","Mortgage Value- $300,000 to $499,999"," Mortgage Value $500,000 to $749,999","Mortgage Value - $750,000 to $999,999","Mortgage Value $1,000,000 or more", mortgage; Estimate; VALUE - Median (dollars),"Percent  HOUSEHOLD INCOME  Less than $10,000","%Household Income $10,000 to $24,999","Percent  Household income - $25,000 to $34,999","% Household Income - $35,000 to $49,999","% Household Income - $50,000 to $74,999","% Household Income - $75,000 to $99,999","% Household Income - $100,000 to $149,999","% Household Income - $150,000 or more",Median household income (dollars),%  RATIO OF VALUE TO HOUSEHOLD INCOME  Less than 2.0,%  RATIO OF VALUE TO HOUSEHOLD INCOME  2.0 to 2.9,%RATIO OF VALUE TO HOUSEHOLD INCOME  - 3.0 to 3.9, %RATIO OF VALUE TO HOUSEHOLD INCOME - 4.0 or more,Id2
0500000US06001,"Alameda County, California",1.2,0.6,7,20.8,31.3,21.8,17.2,662100,1.3,3.1,2.6,4.9,10,11.2,23.1,43.7,134673,7.7,15,17.9,59,6001
0500000US06013,"Contra Costa County, California",1.3,0.8,14.2,29.8,22.5,14.6,16.8,543400,1.4,3.4,3,6,11.9,12.2,22.9,39.2,124265,10.8,17.8,18.6,52.4,6013
0500000US06037,"Los Angeles County, California",1.6,0.9,13.1,34.7,25.9,10.7,13.1,498400,2,5.1,4.5,8.1,15.1,14.2,22,29,101782,8.6,14.6,16.4,59.8,6037
0500000US06075,"San Francisco County, California",1,0.4,2,5.8,21.8,24.4,44.5,943700,1.4,3.2,2.3,4.1,8.3,9.5,19.3,51.8,155398,5.8,9.8,13.1,70.9,6075
0500000US06081,"San Mateo County, California",1,0.5,2,6.7,22.8,23.5,43.4,930200,1.2,2.9,2.1,4,8.5,9.8,20.4,51.1,153124,4.9,8.4,13.3,73,6081
0500000US06085,"Santa Clara County, California",1.1,0.6,3.1,10.9,26.6,22.6,35,834700,1.3,2.6,2.1,4,8.5,9.3,20.1,52.1,155505,6.3,10.7,15.5,67.1,6085
0500000US17031,"Cook County, Illinois",2.9,8.6,53.1,21.8,7.8,2.9,2.8,234000,2.4,5.6,5.3,9,16.6,15.2,21.3,24.7,92688,37.1,24.6,13.4,24.3,17031
0500000US36047,"Kings County, New York",1.7,1,8.5,23.5,29.2,15.3,20.8,631600,2.4,5.1,4.6,7.9,14.2,14.2,21.6,30,102929,9.3,11.2,12.5,66.4,36047
0500000US36061,"New York County, New York",1,0.8,4.2,11.7,20.5,15.6,46,935900,2.3,2.7,1.7,3.3,6,7.3,16.6,60.2,191496,12.9,15.5,15.2,55.6,36061
0500000US41051,"Multnomah County, Oregon",1.9,0.8,39.2,36.2,14.9,4.5,2.4,336600,2,4.3,4.4,9,17.1,16.7,24.3,22.2,94366,15.8,24.9,20.4,38.4,41051
0500000US48453,"Travis County, Texas",2.2,3.2,48.9,26.2,11.9,4,3.6,279600,1.8,3.5,3.9,7.2,14.6,14.2,23.3,31.4,106799,32.7,27.7,15.2,23.6,48453
0500000US53033,"King County, Washington",1.5,0.7,21.5,33.5,23.7,10.8,8.2,451800,1.4,2.7,2.8,5.7,12.3,13.1,24.1,37.9,122404,15.2,23.6,19.7,41.2,53033
